               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057663,          0.00089587,                   0,             0.68727,             0.63827,              0.6563,             0.28017,            0.051245,          0.00072266,                   0,           0.0033302,           0.0033302,            0.070028
                   1,            0.049472,          0.00082962,                   0,             0.77587,             0.69289,             0.74603,             0.37075,            0.045268,          0.00070787,                   0,           0.0065976,           0.0065976,            0.039962
                   2,             0.04791,          0.00086799,                   0,             0.68955,             0.61218,             0.67078,             0.33252,            0.045752,          0.00086029,                   0,           0.0097989,           0.0097989,           0.0098304
                   3,            0.047556,          0.00094059,                   0,             0.71368,             0.63892,             0.70349,             0.38161,            0.041172,          0.00083107,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.045435,           0.0009201,                   0,             0.75802,             0.70033,               0.754,             0.38522,            0.040222,          0.00082797,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.044029,          0.00091817,                   0,             0.80793,             0.67903,              0.7803,             0.41579,            0.039741,          0.00077534,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.043211,          0.00088663,                   0,             0.87087,              0.7597,             0.84783,             0.46426,            0.037797,          0.00074243,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.042018,          0.00087625,                   0,             0.82058,             0.75771,             0.83379,             0.47073,            0.036613,          0.00074232,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.041691,          0.00085829,                   0,             0.81172,             0.74512,             0.81801,             0.44403,            0.037207,          0.00074667,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.040895,          0.00085017,                   0,             0.84577,             0.77911,             0.84068,             0.46902,            0.036088,          0.00070203,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.040427,          0.00083211,                   0,             0.85181,             0.76526,             0.84807,             0.48909,            0.035756,          0.00069017,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.040368,          0.00082867,                   0,              0.8124,             0.78559,             0.83467,             0.47329,            0.034743,           0.0007027,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.039685,          0.00080739,                   0,             0.82869,              0.7887,             0.85486,             0.48261,            0.035543,          0.00067822,                   0,            0.008911,            0.008911,            0.008911
